config_name,ca_has_layer_norm,ca_has_proj_linear,ca_has_residual,ca_has_shared_attns,ca_has_updated_hist,ca_memory_size,ca_num_cross_attn_heads,ca_num_cross_attns,img_has_attributes,img_has_bboxes,img_has_classes,img_num_objects,txt_has_layer_norm,txt_has_pos_embedding,ls_epsilon,kd_alpha,scheduler_type,init_lr,pred_sigmoid,pred_heads,train/r@1,train/r@5,train/r@10,train/mean,train/mrr,epoch,epoch_loss,val/avg_r@1,val/avg_r@5,val/avg_r@10,val/avg_mean,val/avg_mrr,val/avg_ndcg,val/disc_r@1,val/disc_r@5,val/disc_r@10,val/disc_mean,val/disc_mrr,val/disc_ndcg,val/gen_r@1,val/gen_r@5,val/gen_r@10,val/gen_mean,val/gen_mrr,val/gen_ndcg
ote51,True,False,True,False,True,2,4,2,False,True,False,100_100.h5,True,True,0.0,,LinearLR,0.001,False,1,0.678295373916626,0.9131879210472107,0.9647270441055298,2.3426144123077393,0.7810795903205872,7,2.762782335281372,0.4285852611064911,0.6601259708404541,0.7476744055747986,11.48740291595459,0.5399043560028076,0.6515427827835083,0.5038275122642517,0.8029069900512695,0.8939437866210938,4.302810192108154,0.6376718282699585,0.6087239980697632,0.4075096845626831,0.6157461404800415,0.6943798661231995,15.159156799316406,0.5093107223510742,0.6308712363243103
ote57,True,False,True,False,True,2,4,2,False,True,False,50_50.h5,True,True,0.0,,LinearLR,0.001,False,1,0.5706294775009155,0.8604775667190552,0.9340773820877075,3.2017829418182373,0.6983611583709717,4,3.3562893867492676,0.42010658979415894,0.6403585076332092,0.7234495878219604,12.7730131149292,0.5273756384849548,0.6350849866867065,0.5130813717842102,0.8122093081474304,0.8993217349052429,4.088953495025635,0.6470697522163391,0.586844801902771,0.4072674512863159,0.600920557975769,0.6753391623497009,15.980184555053711,0.504518985748291,0.617765486240387
n46,True,False,True,False,True,2,4,2,False,True,False,100_100.h5,True,True,0.0,,LinearLR,0.001,False,1,0.38750070333480835,0.6796896457672119,0.7828741073608398,7.84814453125,0.5260792374610901,0,5.1737446784973145,0.37427327036857605,0.5759205222129822,0.6455426216125488,17.439922332763672,0.47655293345451355,0.5751701593399048,0.42790699005126953,0.7334302067756653,0.8359980583190918,5.843314170837402,0.5679551959037781,0.5025655031204224,0.36627906560897827,0.546366274356842,0.6064922213554382,20.43144416809082,0.46061185002326965,0.5553670525550842
n45,True,False,True,False,True,2,4,2,False,True,False,100_100.h5,True,True,0.0,,LinearLR,0.001,False,1,0.38628727197647095,0.677951455116272,0.780937135219574,7.890379428863525,0.5248791575431824,0,5.180001258850098,0.375339150428772,0.5739341378211975,0.6441376209259033,17.569379806518555,0.4762503206729889,0.5594112873077393,0.42887598276138306,0.7316375970840454,0.8409883975982666,5.778003692626953,0.5684627294540405,0.4907820224761963,0.367102712392807,0.5468991994857788,0.6066860556602478,20.52519416809082,0.4603818356990814,0.5438639521598816
n48,True,False,True,False,True,2,4,2,False,True,False,100_100.h5,True,True,0.0,,LinearLR,0.001,False,1,0.3865857720375061,0.6781526207923889,0.7813767790794373,7.885010719299316,0.5250082612037659,0,5.176731586456299,0.37553295493125916,0.5799418687820435,0.6533430218696594,17.12936019897461,0.478498637676239,0.5757063627243042,0.43066859245300293,0.7339147329330444,0.8370155096054077,5.8189921379089355,0.5703083276748657,0.49296462535858154,0.3672965168952942,0.5490310192108154,0.6105135679244995,20.364826202392578,0.46163269877433777,0.5605158805847168
n49,True,False,True,False,True,2,4,2,False,True,False,50_50.h5,True,True,0.0,,LinearLR,0.001,False,1,0.38571545481681824,0.6770551800727844,0.7803661227226257,7.911417484283447,0.5242810249328613,0,5.186901569366455,0.3722868263721466,0.5746608376502991,0.6449127793312073,17.50702476501465,0.474422425031662,0.5526496171951294,0.42926356196403503,0.7364341020584106,0.838517427444458,5.757655143737793,0.5695090293884277,0.47703906893730164,0.3660368323326111,0.5470930337905884,0.6043604612350464,20.581541061401367,0.459286093711853,0.535435140132904
n46,True,False,True,False,True,2,4,2,False,True,False,100_100.h5,True,True,0.0,,LinearLR,0.001,False,1,0.4664149582386017,0.7758563160896301,0.8720514178276062,4.867924213409424,0.6061276793479919,1,4.170330047607422,0.3968992233276367,0.6073643565177917,0.681831419467926,15.38425350189209,0.5016306042671204,0.600737452507019,0.47369185090065,0.7795057892799377,0.874660849571228,4.709738254547119,0.6113883852958679,0.5421479940414429,0.38599807024002075,0.576017439365387,0.6402616500854492,18.374805450439453,0.4822869300842285,0.5818873047828674
n45,True,False,True,False,True,2,4,2,False,True,False,100_100.h5,True,True,0.0,,LinearLR,0.001,False,1,0.4654383659362793,0.7749065160751343,0.8714333176612854,4.8818230628967285,0.6052160263061523,1,4.176333427429199,0.39496123790740967,0.6041182279586792,0.6814438104629517,15.272770881652832,0.49878302216529846,0.5985994338989258,0.4743216931819916,0.7773740291595459,0.8757267594337463,4.72044563293457,0.6116588711738586,0.5453551411628723,0.38459300994873047,0.5724806189537048,0.6380813717842102,18.285175323486328,0.4801541566848755,0.5806544423103333
n48,True,False,True,False,True,2,4,2,False,True,False,100_100.h5,True,True,0.0,,LinearLR,0.001,False,1,0.4653888940811157,0.7751441597938538,0.8722168803215027,4.875317573547363,0.6052578687667847,1,4.172108173370361,0.3935077488422394,0.608866274356842,0.6860949397087097,15.188566207885742,0.5002580285072327,0.5974171757698059,0.47180232405662537,0.7800872325897217,0.877277135848999,4.6807169914245605,0.6112812161445618,0.548353374004364,0.3857558071613312,0.5791181921958923,0.6449127793312073,18.027761459350586,0.48346084356307983,0.5827999711036682
n49,True,False,True,False,True,2,4,2,False,True,False,50_50.h5,True,True,0.0,,LinearLR,0.001,False,1,0.46309828758239746,0.7731950879096985,0.8702490925788879,4.919076442718506,0.6032356023788452,1,4.186404705047607,0.39394378662109375,0.6041666865348816,0.6814438104629517,15.362693786621094,0.4981710612773895,0.5951306819915771,0.4716085195541382,0.7764050364494324,0.8720930218696594,4.8708815574646,0.608363687992096,0.5268935561180115,0.38478681445121765,0.5739341378211975,0.6390503644943237,18.24869155883789,0.48053374886512756,0.5785881876945496
n46,True,False,True,False,True,2,4,2,False,True,False,100_100.h5,True,True,0.0,,LinearLR,0.001,False,1,0.5042380690574646,0.8121488690376282,0.9007657170295715,4.098140239715576,0.6415252089500427,2,3.8360424041748047,0.4062015414237976,0.6219476461410522,0.7008720636367798,14.30760669708252,0.5119674205780029,0.6113801598548889,0.4931201636791229,0.8013081550598145,0.8912306427955627,4.312548637390137,0.6308924555778503,0.5500184297561646,0.39510658383369446,0.5862887501716614,0.6571705341339111,17.22514533996582,0.491802453994751,0.59462970495224
n45,True,False,True,False,True,2,4,2,False,True,False,100_100.h5,True,True,0.0,,LinearLR,0.001,False,1,0.5028624534606934,0.8109906315803528,0.8999894261360168,4.116365909576416,0.6403712034225464,2,3.843876600265503,0.40290698409080505,0.6215600967407227,0.6986918449401855,14.364389419555664,0.5098601579666138,0.6100600957870483,0.48735466599464417,0.7949128150939941,0.8872092962265015,4.391472816467285,0.6253870129585266,0.5527489185333252,0.3922480642795563,0.5909883975982666,0.6558139324188232,17.10746192932129,0.49090126156806946,0.5950060486793518
